ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
81,1,1,192,1600,1408
82,0,0,2,0,-2
83,1,1,869,1305,436
84,1,1,309,1212,903
85,1,1,753,1648,895
86,0,0,9,0,-9
87,0,0,40,0,-40
88,1,0,74,0,-74
89,0,0,72,0,-72
90,1,0,206,0,-206
91,1,1,386,1785,1399
92,0,0,64,0,-64
93,0,0,31,0,-31
94,0,0,86,0,-86
95,1,1,197,1751,1554
96,1,1,361,1275,914
97,1,0,3,0,-3
98,0,0,94,0,-94
99,1,1,1519,3566,2047
100,0,0,2,0,-2
101,1,1,674,1412,738
102,1,1,546,1317,771
103,1,1,125,1752,1627
104,0,0,5,0,-5
105,0,0,93,0,-93
106,1,0,183,0,-183
107,1,1,1309,1219,-90
108,1,1,832,1753,921
109,1,0,19,0,-19
110,1,1,2578,1654,-924
111,0,0,52,0,-52
112,1,0,22,0,-22
113,0,0,20,0,-20
114,1,1,863,1295,432
115,1,1,955,1479,524
116,1,0,8,0,-8
117,1,0,13,0,-13
118,1,1,160,1568,1408
119,0,0,65,0,-65
120,0,0,0,0,0
121,0,0,42,0,-42
122,0,0,7,0,-7
123,1,0,24,0,-24
124,0,0,32,0,-32
125,1,1,278,1370,1092
126,0,0,1,0,-1
127,1,1,308,1784,1476
128,0,0,56,0,-56
129,1,0,4,0,-4
130,0,0,14,0,-14
131,1,0,50,0,-50
132,0,0,24,0,-24
133,1,1,247,1820,1573
134,0,0,49,0,-49
135,0,0,20,0,-20
136,1,0,32,0,-32
137,1,0,5,0,-5
138,1,1,327,1300,973
139,1,0,56,0,-56
140,0,0,45,0,-45
141,0,0,10,0,-10
142,1,0,57,0,-57
143,1,0,28,0,-28
144,1,1,290,1742,1452
145,0,0,126,0,-126
146,0,0,18,0,-18
147,1,1,281,1667,1386
148,1,1,575,2148,1573
149,0,0,26,0,-26
150,0,0,102,0,-102
151,1,0,50,0,-50
152,1,0,36,0,-36
153,1,0,25,0,-25
154,0,0,100,0,-100
155,1,1,390,1222,832
156,0,0,14,0,-14
157,1,0,156,0,-156
158,0,0,17,0,-17
159,1,0,27,0,-27
160,0,0,21,0,-21
161,1,1,668,1706,1038
162,1,1,720,1468,748
163,0,0,307,0,-307
164,0,0,132,0,-132
165,0,0,81,0,-81
166,0,0,7,0,-7
167,0,0,14,0,-14
168,1,1,1356,1289,-67
169,0,0,120,0,-120
170,1,0,39,0,-39
171,1,0,38,0,-38
172,0,0,110,0,-110
173,1,1,416,1600,1184
174,1,0,11,0,-11
175,0,0,106,0,-106
176,1,0,25,0,-25
177,1,0,1,0,-1
178,0,0,60,0,-60
179,1,0,122,0,-122
180,1,0,99,0,-99
181,1,0,47,0,-47
182,0,0,91,0,-91
183,0,0,14,0,-14
184,1,0,40,0,-40
185,0,0,2,0,-2
186,0,0,24,0,-24
187,0,0,9,0,-9
188,0,0,85,0,-85
189,1,1,290,2621,2331
190,0,0,1,0,-1
191,1,0,12,0,-12
192,1,0,3,0,-3
193,1,0,92,0,-92
194,1,0,38,0,-38
195,0,0,197,0,-197
196,0,0,158,0,-158
197,1,1,536,1207,671
198,1,1,543,1762,1219
199,0,0,50,0,-50
200,1,1,3184,2079,-1105
201,0,0,52,0,-52
202,1,1,263,1949,1686
203,1,1,31,1409,1378
204,0,0,13,0,-13
205,0,0,3,0,-3
206,1,0,3,0,-3
207,0,0,5,0,-5
208,1,1,1472,1317,-155
209,0,0,56,0,-56
210,1,1,305,1257,952
211,1,0,25,0,-25
212,1,0,89,0,-89
213,1,0,157,0,-157
214,0,0,97,0,-97
215,0,0,109,0,-109
216,0,0,25,0,-25
217,0,0,7,0,-7
218,0,0,23,0,-23
219,0,0,25,0,-25
220,1,1,942,1297,355
221,0,0,54,0,-54
222,0,0,63,0,-63
223,0,0,14,0,-14
224,0,0,14,0,-14
225,1,0,11,0,-11
226,0,0,81,0,-81
227,1,1,552,1205,653
228,1,0,43,0,-43
229,1,0,35,0,-35
230,1,1,116,1248,1132
231,1,0,177,0,-177
232,0,0,28,0,-28
233,1,1,446,2116,1670
234,0,0,27,0,-27
235,1,1,406,1708,1302
236,1,1,158,1975,1817
237,1,0,49,0,-49
238,1,0,3,0,-3
239,1,1,441,3263,2822
240,0,0,59,0,-59
241,0,0,17,0,-17
242,1,0,9,0,-9
243,1,1,262,1363,1101
244,1,1,807,1277,470
245,1,1,294,1988,1694
246,0,0,16,0,-16
247,1,0,34,0,-34
248,1,1,52,1223,1171
249,0,0,4,0,-4
250,0,0,0,0,0
251,1,1,1388,1219,-169
252,1,0,135,0,-135
253,1,0,22,0,-22
254,1,0,1,0,-1
255,0,0,66,0,-66
256,0,0,23,0,-23
257,1,0,4,0,-4
258,0,0,105,0,-105
259,1,1,384,1216,832
260,1,1,612,1751,1139
261,1,1,247,2922,2675
262,0,0,4,0,-4
263,0,0,0,0,0
264,1,1,2145,1202,-943
265,1,1,486,2029,1543
266,0,0,6,0,-6
267,1,0,25,0,-25
268,1,0,15,0,-15
269,0,0,10,0,-10
270,1,0,314,0,-314
271,1,0,51,0,-51
272,0,0,9,0,-9
273,1,0,6,0,-6
274,0,0,110,0,-110
275,0,0,77,0,-77
276,1,0,16,0,-16
277,1,0,20,0,-20
278,1,1,724,1774,1050
279,0,0,21,0,-21
280,0,0,95,0,-95
281,1,1,249,1785,1536
282,0,0,151,0,-151
283,0,0,24,0,-24
284,0,0,33,0,-33
285,1,0,262,0,-262
286,1,1,749,1208,459
287,1,0,0,0,0
288,0,0,33,0,-33
289,1,0,47,0,-47
290,1,1,961,1288,327
291,1,1,768,2287,1519
292,1,1,327,2188,1861
293,0,0,71,0,-71
294,0,0,45,0,-45
295,0,0,59,0,-59
296,1,1,766,1304,538
297,0,0,41,0,-41
298,1,0,86,0,-86
299,0,0,16,0,-16
300,1,0,2,0,-2
301,1,0,13,0,-13
302,0,0,67,0,-67
303,1,0,44,0,-44
304,1,0,24,0,-24
305,1,0,93,0,-93
306,1,0,122,0,-122
307,0,0,17,0,-17
308,0,0,56,0,-56
309,0,0,32,0,-32
310,0,0,32,0,-32
311,0,0,28,0,-28
312,0,0,63,0,-63
313,0,0,102,0,-102
314,1,1,121,1408,1287
315,0,0,38,0,-38
316,0,0,51,0,-51
317,1,1,201,1458,1257
318,1,1,132,1565,1433
319,1,1,77,2009,1932
320,0,0,71,0,-71
321,1,0,20,0,-20
322,1,1,2256,1525,-731
323,0,0,54,0,-54
324,1,0,16,0,-16
325,0,0,25,0,-25
326,0,0,69,0,-69
327,1,0,71,0,-71
328,1,1,984,2645,1661
329,0,0,137,0,-137
330,1,0,39,0,-39
331,0,0,10,0,-10
332,0,0,98,0,-98
333,1,0,32,0,-32
334,1,0,7,0,-7
335,1,1,105,1560,1455
336,0,0,101,0,-101
337,1,0,38,0,-38
338,0,0,7,0,-7
339,0,0,26,0,-26
340,0,0,9,0,-9
341,0,0,67,0,-67
342,1,1,552,1379,827
343,0,0,13,0,-13
344,1,1,128,2533,2405
345,1,1,704,1585,881
346,0,0,42,0,-42
347,0,0,34,0,-34
348,0,0,3,0,-3
349,0,0,6,0,-6
350,1,1,698,1424,726
351,1,0,58,0,-58
352,1,0,113,0,-113
353,1,0,19,0,-19
354,1,1,92,1222,1130
355,0,0,0,0,0
356,1,0,23,0,-23
357,1,0,10,0,-10
358,0,0,20,0,-20
359,1,0,70,0,-70
360,1,0,14,0,-14
361,1,0,76,0,-76
362,1,0,0,0,0
363,0,0,32,0,-32
364,0,0,14,0,-14
365,1,0,104,0,-104
366,1,0,4,0,-4
367,0,0,149,0,-149
368,1,1,364,1487,1123
369,0,0,20,0,-20
370,1,0,7,0,-7
371,1,0,37,0,-37
372,1,0,58,0,-58
373,0,0,23,0,-23
374,1,0,82,0,-82
375,0,0,314,0,-314
376,0,0,35,0,-35
377,1,1,222,1413,1191
378,0,0,6,0,-6
379,0,0,61,0,-61
380,1,1,61,3105,3044
381,0,0,8,0,-8
382,1,0,100,0,-100
383,0,0,44,0,-44
384,0,0,3,0,-3
385,1,1,929,1485,556
386,1,1,209,1339,1130
387,1,1,49,1221,1172
388,1,0,146,0,-146
389,1,1,1026,1674,648
390,0,0,0,0,0
391,1,0,37,0,-37
392,0,0,26,0,-26
393,0,0,2,0,-2
394,1,1,283,1217,934
395,1,1,256,1347,1091
396,1,1,1217,1213,-4
397,1,1,52,1662,1610
398,0,0,98,0,-98
399,0,0,63,0,-63
400,0,0,33,0,-33
401,0,0,24,0,-24
402,1,1,358,1396,1038
403,1,0,129,0,-129
404,1,0,2,0,-2
405,1,1,2200,1504,-696
406,0,0,214,0,-214
407,1,1,502,2215,1713
408,1,1,705,1406,701
409,0,0,1,0,-1
410,0,0,11,0,-11
411,1,1,192,1484,1292
412,1,1,320,1305,985
413,1,1,62,1353,1291
414,1,0,0,0,0
415,0,0,0,0,0
416,0,0,83,0,-83
417,1,0,21,0,-21
418,0,0,35,0,-35
419,1,0,60,0,-60
420,1,0,289,0,-289
421,1,0,2,0,-2
422,1,0,22,0,-22
423,0,0,8,0,-8
424,0,0,103,0,-103
425,1,0,14,0,-14
426,0,0,172,0,-172
427,1,0,161,0,-161
428,0,0,73,0,-73
429,1,0,42,0,-42
430,1,1,21,1471,1450
431,0,0,96,0,-96
432,1,1,143,1602,1459
433,1,1,725,1371,646
434,1,0,34,0,-34
435,0,0,160,0,-160
436,0,0,42,0,-42
437,1,1,228,1627,1399
438,1,1,558,1294,736
439,0,0,199,0,-199
440,1,1,198,2172,1974
441,0,0,25,0,-25
442,0,0,56,0,-56
443,1,1,802,1325,523
444,1,1,174,1225,1051
445,0,0,16,0,-16
446,1,0,39,0,-39
447,1,0,23,0,-23
448,1,0,140,0,-140
449,1,1,747,1339,592
450,1,1,959,1463,504
451,1,1,506,1239,733
452,0,0,5,0,-5
453,1,1,39,1694,1655
454,1,1,598,1773,1175
455,1,0,12,0,-12
456,1,0,5,0,-5
457,1,0,18,0,-18
458,0,0,176,0,-176
459,1,0,22,0,-22
460,1,1,297,1261,964
461,1,0,69,0,-69
462,1,1,717,1355,638
463,1,0,55,0,-55
464,0,0,17,0,-17
465,0,0,34,0,-34
466,0,0,4,0,-4
467,1,0,28,0,-28
468,1,0,1,0,-1
469,1,0,137,0,-137
470,0,0,33,0,-33
471,1,1,450,2362,1912
472,1,0,107,0,-107
473,0,0,21,0,-21
474,1,1,270,1233,963
475,1,0,10,0,-10
476,1,1,96,1290,1194
477,1,1,788,1461,673
478,0,0,83,0,-83
479,1,0,50,0,-50
480,1,1,385,1423,1038
481,0,0,7,0,-7
482,0,0,27,0,-27
483,0,0,12,0,-12
484,1,0,58,0,-58
485,1,0,98,0,-98
486,1,0,41,0,-41
487,1,0,8,0,-8
488,1,0,28,0,-28
489,0,0,10,0,-10
490,1,1,123,1386,1263
491,0,0,112,0,-112
492,0,0,2,0,-2
493,1,1,245,1206,961
494,0,0,83,0,-83
495,0,0,6,0,-6
496,1,1,1024,1347,323
497,1,1,359,1341,982
498,1,1,916,1429,513
499,1,1,906,1347,441
500,1,0,70,0,-70
501,1,0,19,0,-19
502,0,0,25,0,-25
503,1,0,7,0,-7
504,1,1,610,2054,1444
505,1,1,440,1839,1399
506,1,0,7,0,-7
507,0,0,1,0,-1
508,0,0,174,0,-174
509,1,1,40,2068,2028
510,1,1,2197,1250,-947
511,1,1,196,1696,1500
512,1,0,140,0,-140
513,0,0,44,0,-44
514,0,0,47,0,-47
515,1,0,11,0,-11
516,0,0,155,0,-155
517,1,0,139,0,-139
518,1,1,400,1306,906
519,0,0,17,0,-17
520,1,0,51,0,-51
521,0,0,90,0,-90
522,1,0,10,0,-10
523,1,1,111,1488,1377
524,1,1,447,1833,1386
525,0,0,106,0,-106
526,1,1,423,2035,1612
527,1,1,774,1272,498
528,1,0,111,0,-111
529,0,0,70,0,-70
530,0,0,17,0,-17
531,0,0,73,0,-73
532,1,0,42,0,-42
533,1,1,1298,2680,1382
534,0,0,42,0,-42
535,1,1,573,1259,686
536,1,1,717,1675,958
537,0,0,32,0,-32
538,0,0,144,0,-144
539,0,0,23,0,-23
540,1,1,90,1925,1835
541,1,1,483,1338,855
542,0,0,3,0,-3
543,1,1,1517,1541,24
544,1,1,819,2211,1392
545,1,1,1585,1594,9
546,0,0,14,0,-14
547,1,1,405,1247,842
548,1,1,659,2023,1364
549,1,0,1,0,-1
550,0,0,35,0,-35
551,0,0,6,0,-6
552,1,0,42,0,-42
553,1,0,8,0,-8
554,1,0,44,0,-44
555,1,0,2,0,-2
556,1,1,221,1810,1589
557,1,1,921,1384,463
558,1,0,151,0,-151
559,1,0,39,0,-39
560,1,0,55,0,-55
561,0,0,13,0,-13
562,1,0,42,0,-42
563,0,0,36,0,-36
564,1,1,629,1322,693
565,1,0,121,0,-121
566,1,1,353,3493,3140
567,0,0,62,0,-62
568,0,0,2,0,-2
569,1,1,60,1280,1220
570,1,0,1,0,-1
571,1,0,10,0,-10
572,1,1,560,1904,1344
573,1,1,1051,1519,468
574,0,0,15,0,-15
575,1,0,0,0,0
576,0,0,59,0,-59
577,1,0,64,0,-64
578,1,0,42,0,-42
579,1,0,32,0,-32
580,1,1,1139,1632,493
581,0,0,19,0,-19
582,1,0,4,0,-4
583,0,0,178,0,-178
584,1,1,274,1340,1066
585,1,0,67,0,-67
586,1,0,7,0,-7
587,1,0,49,0,-49
588,1,1,1730,1302,-428
589,1,1,262,1776,1514
590,1,1,281,1211,930
591,0,0,31,0,-31
592,1,1,521,1523,1002
593,1,0,81,0,-81
594,1,1,54,1389,1335
595,0,0,59,0,-59
596,0,0,3,0,-3
597,0,0,80,0,-80
598,1,0,51,0,-51
599,1,1,152,1258,1106
600,0,0,30,0,-30
601,0,0,7,0,-7
602,1,1,145,1531,1386
603,0,0,24,0,-24
604,1,0,93,0,-93
605,1,1,992,1415,423
606,0,0,93,0,-93
607,0,0,16,0,-16
608,1,1,453,1279,826
609,1,0,17,0,-17
610,0,0,11,0,-11
611,1,0,77,0,-77
612,1,1,67,1637,1570
613,1,1,85,1320,1235
614,0,0,60,0,-60
615,0,0,12,0,-12
616,0,0,206,0,-206
617,0,0,48,0,-48
618,1,1,832,1263,431
619,0,0,99,0,-99
620,1,0,85,0,-85
621,1,0,14,0,-14
622,0,0,56,0,-56
623,1,0,76,0,-76
624,1,0,200,0,-200
625,1,1,639,1472,833
626,0,0,9,0,-9
627,1,1,118,1285,1167
628,1,0,51,0,-51
629,1,1,479,1243,764
630,1,0,27,0,-27
631,1,1,835,1277,442
632,1,1,784,1603,819
633,0,0,5,0,-5
634,1,1,18,1226,1208
635,0,0,25,0,-25
636,1,1,404,1337,933
637,1,0,42,0,-42
638,1,1,315,1924,1609
639,1,1,142,1450,1308
640,0,0,164,0,-164
641,0,0,140,0,-140
642,0,0,51,0,-51
643,1,0,20,0,-20
644,0,0,44,0,-44
645,0,0,2,0,-2
646,0,0,148,0,-148
647,0,0,111,0,-111
648,1,0,1,0,-1
649,1,1,104,3095,2991
650,1,0,29,0,-29
651,1,1,542,1309,767
652,0,0,44,0,-44
653,0,0,4,0,-4
654,1,0,111,0,-111
655,1,1,215,2192,1977
656,0,0,21,0,-21
657,1,0,154,0,-154
658,1,1,505,1372,867
659,0,0,8,0,-8
660,1,1,302,3292,2990
661,0,0,6,0,-6
662,1,0,21,0,-21
663,1,1,996,1238,242
664,0,0,122,0,-122
665,0,0,49,0,-49
666,1,0,9,0,-9
667,0,0,101,0,-101
668,1,0,115,0,-115
669,0,0,1,0,-1
670,1,0,22,0,-22
671,0,0,5,0,-5
672,0,0,47,0,-47
673,0,0,85,0,-85
674,1,0,29,0,-29
675,0,0,28,0,-28
676,1,1,687,1457,770
677,1,0,24,0,-24
678,1,0,55,0,-55
679,1,0,36,0,-36
680,1,1,382,1649,1267
681,0,0,12,0,-12
682,0,0,10,0,-10
683,0,0,41,0,-41
684,0,0,112,0,-112
685,0,0,46,0,-46
686,1,1,185,1268,1083
687,0,0,19,0,-19
688,0,0,7,0,-7
689,0,0,2,0,-2
690,0,0,26,0,-26
691,0,0,16,0,-16
692,0,0,17,0,-17
693,0,0,71,0,-71
694,1,0,113,0,-113
695,1,1,480,1235,755
696,0,0,194,0,-194
697,1,0,111,0,-111
698,0,0,38,0,-38
699,1,1,203,1450,1247
700,1,1,392,1348,956
701,0,0,65,0,-65
702,0,0,104,0,-104
703,0,0,20,0,-20
704,0,0,76,0,-76
705,1,1,1834,2698,864
706,1,0,83,0,-83
707,1,0,4,0,-4
708,1,0,57,0,-57
709,0,0,61,0,-61
710,0,0,105,0,-105
711,1,0,108,0,-108
712,1,0,48,0,-48
713,0,0,30,0,-30
714,0,0,42,0,-42
715,1,0,15,0,-15
716,0,0,121,0,-121
717,1,0,18,0,-18
718,0,0,34,0,-34
719,1,0,161,0,-161
720,1,0,26,0,-26
721,0,0,82,0,-82
722,1,0,6,0,-6
723,1,1,112,1240,1128
724,1,0,17,0,-17
725,1,0,52,0,-52
726,0,0,44,0,-44
727,1,0,147,0,-147
728,1,1,830,1548,718
729,1,1,823,3749,2926
730,1,1,1551,2169,618
731,0,0,54,0,-54
732,0,0,79,0,-79
733,1,1,443,1477,1034
734,1,0,14,0,-14
735,1,0,8,0,-8
736,1,0,17,0,-17
737,1,1,425,1230,805
738,0,0,91,0,-91
739,1,1,252,2220,1968
740,1,1,1671,1233,-438
741,0,0,13,0,-13
742,1,1,482,1324,842
743,1,1,54,1352,1298
744,1,1,419,1290,871
745,1,0,1,0,-1
746,1,1,187,1223,1036
747,1,1,183,1203,1020
748,1,0,24,0,-24
749,1,1,417,1365,948
750,0,0,10,0,-10
751,1,1,164,2039,1875
752,1,0,16,0,-16
753,0,0,14,0,-14
754,0,0,67,0,-67
755,0,0,91,0,-91
756,0,0,51,0,-51
757,1,1,114,1520,1406
758,1,1,113,2517,2404
759,0,0,42,0,-42
760,1,1,221,1687,1466
761,1,1,970,1322,352
762,1,0,100,0,-100
763,1,1,200,1227,1027
764,1,0,29,0,-29
765,0,0,42,0,-42
766,1,1,1284,1373,89
767,0,0,106,0,-106
768,1,0,1,0,-1
769,1,1,473,1241,768
770,1,0,16,0,-16
771,0,0,69,0,-69
772,1,1,139,1304,1165
773,0,0,28,0,-28
774,0,0,67,0,-67
775,0,0,77,0,-77
776,1,1,686,5303,4617
777,1,1,142,1449,1307
778,1,1,1428,1330,-98
779,1,0,51,0,-51
780,1,1,201,1420,1219
781,1,1,928,1472,544
782,1,1,305,2405,2100
783,1,0,64,0,-64
784,0,0,103,0,-103
785,0,0,8,0,-8
786,1,1,287,1339,1052
787,0,0,23,0,-23
788,1,0,42,0,-42
789,0,0,33,0,-33
790,0,0,2,0,-2
791,0,0,4,0,-4
792,0,0,18,0,-18
793,0,0,75,0,-75
794,0,0,19,0,-19
795,1,0,16,0,-16
796,0,0,27,0,-27
797,0,0,14,0,-14
798,1,1,788,1780,992
799,1,0,150,0,-150
800,1,1,621,1269,648
801,0,0,0,0,0
802,0,0,4,0,-4
803,1,1,103,1958,1855
804,1,0,61,0,-61
805,0,0,30,0,-30
806,0,0,45,0,-45
807,1,0,52,0,-52
808,1,1,288,1937,1649
809,0,0,90,0,-90
810,1,1,578,1428,850
811,1,1,1632,5596,3964
812,0,0,4,0,-4
813,1,1,27,1246,1219
814,1,0,4,0,-4
815,1,0,22,0,-22
816,0,0,102,0,-102
817,1,0,22,0,-22
818,1,0,33,0,-33
819,1,1,602,1384,782
820,1,1,18,2365,2347
821,1,0,10,0,-10
822,0,0,107,0,-107
823,1,1,555,1404,849
824,1,0,25,0,-25
825,0,0,105,0,-105
826,1,1,278,1774,1496
827,0,0,119,0,-119
828,1,1,455,1844,1389
829,0,0,101,0,-101
830,1,0,49,0,-49
831,0,0,82,0,-82
832,1,0,85,0,-85
833,1,1,25,1514,1489
834,1,1,143,1245,1102
835,1,1,514,1556,1042
836,1,0,15,0,-15
837,1,0,46,0,-46
838,1,0,31,0,-31
839,1,1,1408,1373,-35
840,1,0,108,0,-108
841,1,0,3,0,-3
842,1,0,54,0,-54
843,1,0,62,0,-62
844,1,0,38,0,-38
845,1,1,110,1734,1624
846,0,0,33,0,-33
847,1,0,64,0,-64
848,1,0,95,0,-95
849,1,1,1047,1360,313
850,1,1,491,1261,770
851,0,0,31,0,-31
852,1,1,113,1346,1233
853,1,0,27,0,-27
854,1,1,377,1462,1085
855,0,0,35,0,-35
856,0,0,6,0,-6
857,1,1,88,1601,1513
858,1,1,336,1845,1509
859,0,0,157,0,-157
860,1,0,1,0,-1
861,1,1,212,1500,1288
862,0,0,35,0,-35
863,1,0,102,0,-102
864,1,0,256,0,-256
865,1,1,1627,1408,-219
866,1,1,226,1203,977
867,0,0,25,0,-25
868,0,0,69,0,-69
869,0,0,44,0,-44
870,1,0,1,0,-1
871,1,1,74,1966,1892
872,1,1,524,1353,829
873,1,1,1195,1456,261
874,1,0,80,0,-80
875,1,1,445,1932,1487
876,0,0,74,0,-74
877,0,0,47,0,-47
878,0,0,69,0,-69
879,1,1,358,1333,975
880,0,0,221,0,-221
881,1,0,10,0,-10
882,0,0,1,0,-1
883,0,0,5,0,-5
884,0,0,17,0,-17
885,1,0,98,0,-98
886,0,0,37,0,-37
887,1,1,254,2020,1766
888,1,0,158,0,-158
889,0,0,16,0,-16
890,0,0,97,0,-97
891,1,0,128,0,-128
892,1,1,362,1251,889
893,1,0,93,0,-93
894,0,0,10,0,-10
895,0,0,164,0,-164
896,1,0,52,0,-52
897,0,0,55,0,-55
898,1,0,33,0,-33
899,0,0,15,0,-15
900,0,0,3,0,-3
901,1,1,657,1768,1111
902,1,1,524,1326,802
903,0,0,107,0,-107
904,1,1,271,1229,958
905,1,1,1107,1995,888
906,0,0,20,0,-20
907,1,1,421,1282,861
908,1,1,565,1722,1157
909,0,0,78,0,-78
910,0,0,23,0,-23
911,0,0,175,0,-175
912,1,0,38,0,-38
913,0,0,1,0,-1
914,0,0,19,0,-19
915,0,0,59,0,-59
916,1,1,1415,1346,-69
917,0,0,145,0,-145
918,0,0,47,0,-47
919,1,0,44,0,-44
920,0,0,30,0,-30
921,1,0,38,0,-38
922,1,0,32,0,-32
923,0,0,3,0,-3
924,1,1,117,1269,1152
925,0,0,58,0,-58
926,0,0,15,0,-15
927,1,0,29,0,-29
928,0,0,72,0,-72
929,0,0,81,0,-81
930,1,1,294,1224,930
931,1,0,16,0,-16
932,1,0,80,0,-80
933,1,0,8,0,-8
934,1,1,194,1277,1083
935,1,0,41,0,-41
936,1,0,55,0,-55
937,0,0,170,0,-170
938,1,0,5,0,-5
939,1,0,17,0,-17
940,1,1,561,1941,1380
941,0,0,152,0,-152
942,0,0,41,0,-41
943,0,0,52,0,-52
944,1,0,37,0,-37
945,1,1,144,1505,1361
946,1,0,1,0,-1
947,0,0,44,0,-44
948,1,1,685,1256,571
949,0,0,89,0,-89
950,1,1,504,1282,778
951,0,0,13,0,-13
952,0,0,60,0,-60
953,0,0,27,0,-27
954,1,0,30,0,-30
955,1,1,175,2231,2056
956,0,0,26,0,-26
957,0,0,96,0,-96
958,1,1,277,1201,924
959,0,0,52,0,-52
960,0,0,54,0,-54
961,1,1,703,1527,824
962,0,0,10,0,-10
963,0,0,62,0,-62
964,1,0,4,0,-4
965,1,1,48,1787,1739
966,0,0,1,0,-1
967,1,1,398,1470,1072
968,0,0,30,0,-30
969,1,0,60,0,-60
970,1,1,173,2231,2058
971,0,0,23,0,-23
972,1,1,991,1907,916
973,0,0,27,0,-27
974,0,0,13,0,-13
975,1,1,159,1935,1776
976,1,0,288,0,-288
977,1,1,1370,1405,35
978,1,1,522,1319,797
979,0,0,5,0,-5
980,1,0,53,0,-53
981,1,1,298,1495,1197
982,0,0,12,0,-12
983,0,0,83,0,-83
984,1,0,5,0,-5
985,0,0,3,0,-3
986,0,0,54,0,-54
987,0,0,54,0,-54
988,1,1,467,1778,1311
989,0,0,14,0,-14
990,0,0,13,0,-13
991,0,0,68,0,-68
992,1,1,152,1264,1112
993,0,0,0,0,0
994,1,0,73,0,-73
995,0,0,4,0,-4
996,1,0,12,0,-12
997,1,1,517,2473,1956
998,0,0,91,0,-91
999,1,1,1593,1470,-123
1000,0,0,33,0,-33
1001,1,0,35,0,-35
1002,0,0,29,0,-29
1003,0,0,3,0,-3
1004,1,0,0,0,0
1005,0,0,90,0,-90
1006,1,0,30,0,-30
1007,0,0,11,0,-11
1008,0,0,41,0,-41
1009,1,0,49,0,-49
1010,0,0,24,0,-24
1011,0,0,134,0,-134
1012,0,0,100,0,-100
1013,1,0,9,0,-9
1014,0,0,11,0,-11
1015,1,0,8,0,-8
1016,1,0,10,0,-10
1017,1,1,384,1227,843
1018,0,0,36,0,-36
1019,1,0,67,0,-67
1020,1,0,60,0,-60
1021,1,0,152,0,-152
1022,1,1,277,1353,1076
1023,1,1,103,1627,1524
1024,1,1,449,1227,778
1025,1,0,3,0,-3
1026,1,1,1197,1270,73
1027,1,0,0,0,0
1028,0,0,11,0,-11
1029,1,0,130,0,-130
1030,1,0,27,0,-27
1031,0,0,34,0,-34
1032,0,0,107,0,-107
1033,1,1,370,1323,953
1034,1,1,113,1395,1282
1035,1,0,49,0,-49
1036,1,0,6,0,-6
1037,1,1,1099,1398,299
1038,0,0,42,0,-42
1039,1,0,6,0,-6
1040,0,0,104,0,-104
1041,0,0,78,0,-78
1042,0,0,50,0,-50
1043,1,1,1059,1544,485
1044,1,1,404,3605,3201
1045,1,1,521,1341,820
1046,1,0,170,0,-170
1047,0,0,21,0,-21
1048,0,0,1,0,-1
1049,1,0,82,0,-82
1050,1,0,28,0,-28
